Datetime,Open,High,Low,Close,Adj Close,Volume
2026-01-05T04:00:00-05:00,445.05,446.15,443.9,445.21,445.21,26199
2026-01-05T04:01:00-05:00,445.2,445.7,445.2,445.61,445.61,6911
2026-01-05T04:02:00-05:00,445.61,445.81,445.5,445.79,445.79,6986
2026-01-05T04:03:00-05:00,445.78,445.9,445.68,445.68,445.68,5470
2026-01-05T04:04:00-05:00,445.7,445.83,445.7,445.8,445.8,2338
2026-01-05T04:05:00-05:00,445.83,446,445.81,445.82,445.82,7505
2026-01-05T04:06:00-05:00,445.79,445.79,445.45,445.45,445.45,3014
2026-01-05T04:07:00-05:00,445.52,445.53,445.4,445.44,445.44,2366
2026-01-05T04:08:00-05:00,445.49,445.49,445.3,445.48,445.48,4279
2026-01-05T04:09:00-05:00,445.48,445.57,445.09,445.13,445.13,4408
2026-01-05T04:10:00-05:00,445.15,445.21,445,445.08,445.08,4267
2026-01-05T04:11:00-05:00,445.13,445.17,445.12,445.12,445.12,782
2026-01-05T04:12:00-05:00,445.13,445.13,444.74,444.84,444.84,3971
2026-01-05T04:13:00-05:00,444.84,445,444.83,444.83,444.83,2945
2026-01-05T04:14:00-05:00,444.95,444.96,444.88,444.96,444.96,1759
2026-01-05T04:15:00-05:00,444.89,444.89,444.78,444.86,444.86,1742
2026-01-05T04:16:00-05:00,444.85,445,444.85,444.97,444.97,3760
2026-01-05T04:17:00-05:00,445,445,444.92,444.99,444.99,2356
2026-01-05T04:18:00-05:00,444.96,445,444.91,444.93,444.93,1284
2026-01-05T04:19:00-05:00,444.92,444.97,444.91,444.97,444.97,1403
2026-01-05T04:20:00-05:00,444.9,444.99,444.89,444.99,444.99,1379
2026-01-05T04:21:00-05:00,444.99,445.27,444.98,445.27,445.27,4394
2026-01-05T04:22:00-05:00,445.26,445.5,445.2,445.2,445.2,2942
2026-01-05T04:23:00-05:00,445.15,445.15,445,445.05,445.05,1432
2026-01-05T04:24:00-05:00,445,445,444.68,444.68,444.68,3690
2026-01-05T04:25:00-05:00,444.68,444.76,444.54,444.54,444.54,2167
2026-01-05T04:26:00-05:00,444.59,444.65,444.5,444.53,444.53,4113
2026-01-05T04:27:00-05:00,444.5,444.63,444.44,444.57,444.57,2762
2026-01-05T04:28:00-05:00,444.73,444.87,444.69,444.87,444.87,1040
2026-01-05T04:29:00-05:00,444.8,444.87,444.6,444.6,444.6,2032
2026-01-05T04:30:00-05:00,444.5,444.82,444.5,444.82,444.82,1457
2026-01-05T04:31:00-05:00,444.84,444.9,444.75,444.9,444.9,606
2026-01-05T04:32:00-05:00,444.99,445.19,444.99,445.12,445.12,1917
2026-01-05T04:33:00-05:00,445,445.17,444.98,445.17,445.17,2074
2026-01-05T04:34:00-05:00,445.08,445.08,444.81,444.81,444.81,1415
2026-01-05T04:35:00-05:00,444.93,445.01,444.93,445,445,1407
2026-01-05T04:36:00-05:00,444.97,444.97,444.89,444.89,444.89,333
2026-01-05T04:37:00-05:00,444.89,444.89,444.7,444.7,444.7,3762
2026-01-05T04:38:00-05:00,444.66,444.72,444.5,444.66,444.66,4823
2026-01-05T04:39:00-05:00,444.71,444.93,444.7,444.7,444.7,2938
2026-01-05T04:40:00-05:00,444.83,445,444.83,445,445,948
2026-01-05T04:41:00-05:00,444.98,444.98,444.73,444.73,444.73,1924
2026-01-05T04:42:00-05:00,444.69,444.7,444.62,444.62,444.62,958
2026-01-05T04:43:00-05:00,444.57,444.69,444.5,444.51,444.51,2425
2026-01-05T04:44:00-05:00,444.53,444.61,444.49,444.61,444.61,1473
